path,partition,bytes,lines,sha256
hamil_rot.F,electrostatics,9358,263,2fe59766ffe713650373df4cad9d4ddc826faa814c67e465248ab4f1b74db16c
hamil_struct.F,electrostatics,646,14,bb619b843b286d57d3888d39465557b438fd5c73b52be5d80a706228a73ae5d1
hills.inc,ions,1275,37,5c29e79206c7700524d8af256b08d26ca10dd8c01a2fbe2e2d1073a07580f2b5
hyperfine.F,response,29761,889,421ec65fe0f964b6c0cb9e67392f909fd3c5ab1ae0ec05fbbdaa43a667da0510
ilinear_response.F,response,49696,1258,61265baaee455463e073c7bf9ca99825167207b4d09530b0defc724bf29ef994
incar_reader.F,io,50414,1281,346b12a7e0a38c16a711bf7660b26b2de3a29dcab967e3eb85d1526d8dee59df
incar_reader.inc,io,4857,157,626a448d666aade4ee48afb0e92d5f3c21989559e1495466442271874c2f4300
ini.F,electronic_solution,33787,1074,57216284b192b95e4a8f43a400074e4a03f18df43327238412bcadc3fbcbca84
intelmkl.F,parallel,60071,1861,dc4079b41789bc1586392aa2422b2b3f19f31bd9779c79f3cbcafa72a8edd2cb
internals.F,ions,96860,1968,07d02174a8313b72c52c6acd1e7fd4b91d7697e6e185130c5fcdd86851312c73
jacobi.F,numerics,38498,1321,4265a2a6a728733726ec6df9d575a1439adf197d22d8999d366bdc1571cbf9df
k-proj.F,localized,21783,565,83d34d8d7974968ff1244a768b0ac7e1e5c5dfe02df1dde5815a2958b6c86641
lapack_wrappers.F,numerics,19575,618,54eabbbc62d995e4c00fd7f1c143224719e3a3e87a6dced5e751ae62f96ff8a2
lattice.F,geometry,7505,249,a509e202f3a7a6c02b346e95c1337352ad03919694d6b45a57502243ef057486
lattice.inc,geometry,424,15,4b872eab60afe65c809d13afe740706575a2bc6a2e0532971a721879346f608d
lattlib.F,geometry,108546,3007,8318939087b862cba16f880a8ef66351c447fc57e54b2b3a2e19d66be34eb26b
lcao_bare.F,localized,96552,2814,00d1e2e19c2b4f6dc4c94bea771a46e977913e87a28ee303481f3976bd5581c8
ldalib.F,xc,131534,3520,e551a00620814adfcbd7a7b54f50517cc1e5bcb491a191542014c8e811bc66bd
lib/crayerrf.F,numerics,223,13,ec807f668b4b64da194d562a051f245dcdf13beb9de11bd60d6adee8046d2044
lib/dclock.c,parallel,1343,38,95bb6e19b121c13c17ce2c0a45795b4c14c0d391ac95e09e82eb8f5eb60044ed
lib/dclock_.c,parallel,1580,49,3e2277d9ea57339e4a393a1793bceb9c55bb0443e10003cf0bb0164d574815d6
lib/dclock_ds20.c,parallel,1374,40,55142d395dffe662c4b1d17dc58cfd87b36e5ebeefa31e72f326e92260f0884e
lib/dclock_simple.c,parallel,428,18,207449f08a43a8b05c10942a7832032b577fb50e5672a62a1b4db0a2790ca709
lib/derrf.c,numerics,330,18,b4eab110747443548fb033f6ad95e0ba17d1bc4d5ec4e93b64bbb2dcd49c8fa8
lib/derrf_.c,numerics,305,16,f75e77d7d19561dae46fd0b2bedb116d4336c3a65ecbfca4e1ac15b64df0b0b2
lib/derrf_t3d.c,numerics,494,20,fff47a2401d555baf256ae87a28fc455bd4e2c0da280fa3340bd36a802ee1003
lib/diolib.F,io,15256,404,f895ef3ec0ccb7ad357e8a8bcbe0d1c2fc867da10fe070d55bfadeaa19b0ed58
lib/dlexlib.F,io,53193,1479,0dda2f5ec20c83f1f66f9c2622438a4e554c67e6049b8f8b04469bef6c74243c
lib/drdatab.F,io,14964,361,319f0e5d8f86d4a3384d90f73dc2298a3e1ae4d917006ad1b99a9b8a465a8e82
lib/errf.F,numerics,639,22,7865c7a4c0fe613a1cc6ee8af300646c3964ee71714d16b537fe509bcd773b50
lib/fujitsu.F,numerics,597,28,6e41624d7ed5c3151b8d4f597da621f1871c3edc276c3d048993ceb6c6c52ccf
lib/getshmem.c,parallel,6360,233,d30a8b1421481e11df997d6a8ef070480571a88162e8f003dd6c48bb89d5e037
lib/lapack_atlas.f,numerics,836485,26830,9b1143e441b1d88b41493d206f62b81c1df38cbbc648ec3a28125ba230f9e417
lib/lapack_double.f,numerics,1122307,36099,fc70c671346ad66a93a239b79e96e9444217002678d55b8114cf094294b7d3ca
lib/lapack_double_1.1.f,numerics,654167,21262,cb3f2a359b221e85b6b0ffdc530ae1a35fe821e420ab87a9c2e6315975efa7e0
lib/lapack_single.f,numerics,861081,27793,9a402476879d297bff69a9b043e21848f9740d190b3445d152eef123f0dca49a
lib/lapack_single_1.1.f,numerics,651455,21267,d975ab8c1b9cd96128ecb42f020c9945682f2b08c8c048f2c4355f2053d75f9a
lib/linpack_double.f,numerics,13206,447,75f931f71fc8692905eea769ea7a4a0e079dd48e1c1ff692ebaddb87dc659700
lib/linpack_single.f,numerics,12686,439,103b5a0cdbb818c375c502e5e32010e69ee286a9cf7327e46e67c8fc54808a5d
lib/makefile,execution,1087,48,54b5e5d2ee2c3478adb35b54d739fe24758707fea1939c594d29358b949c5a06
lib/preclib.F,foundations,263,8,26b5a1eb3852bbac0c60ab7ddb71ad4bc44612e34ee3268ec4490061663cca58
lib/ptimers.f,parallel,1853,95,7cbbdb7c9b0d5f87de298a61b89aa03d07586c43ab1f78d5b5aaf767db4582ef
lib/sclock_cray.F,parallel,336,13,11c67187edc5e7ccfed34d3df5831b3930cd708669c28c129547afcf2cdb1559
lib/sclock_nec.F,parallel,624,25,50f4d88f42f7b5d8c3e0d968328efa0c8007161eed619a74f256ad0335f5bddb
lib/sclock_t3d.F,parallel,334,13,ff2ac7759e52d4cde0f48c26b7a810117d5ceaa7a9bff946f5ede8bc27436e29
lib/serrf.c,numerics,385,18,247a792dbf6233ae5de209b3e7ed9829032e2a984601be9eda7ffca510c29449
lib/timing.c,parallel,1555,49,8e1aed1e8cd419eebed79d32fe2a25429a810da110b64d27e1255e98b351c6db
lib/timing.fujitsu.F,parallel,445,23,1130f3b77c9321e9f80e2999267c8e2e022b9600f424ff7c859ad0b1c23b6694
lib/timing_.c,parallel,1557,49,e1bed137fb495f01d80e6199e77b7b254a9153da98236a9cf35f5290455bc46a
lib/timing_ds20.c,parallel,1570,49,7437c0b77825d2636723cde82f0094854357aec43619b7d62707b5c26c4b0379
libmbd.F,nonlocal_interactions,13447,354,b012e7b7d32412efb36a16de7562021738147fc5c05bd4e9a66d1bfa85a372b4
lie.F,localized,128038,3684,3083ed3883fc2bbc7091b7151ac9ac7318379d47eaaea28a1c0e20e851ce2cd6
linear_optics.F,response,113754,3311,ec3f5ee30971b855d47f5a0bf3621ebf869de71142301403cfc87ff1e7fc6667
linear_response.F,response,76026,1961,a6ef7f61601f2f0c5608e9e166a5f5a9797a383efc7374967f0db566a8fbd6dd
linear_response_NMR.F,response,179418,4840,c05b3c3b4ac75598c4b577774dc3c91af6ff4e384dc09b72b14d57cfa19ade8b
local_field.F,many_body,246017,6178,8b7e7fb7112f9f7b0045774da6a182eab3140ecf3144d639e5af438925e73f02
locproj.F,localized,171915,4437,b0bffc116daec99648a90980e7d34b198edf54dda202822864df964ff25b2276
locproj_struct.F,localized,1974,40,33a69be73349fa795b3001d5c4713fc8fcf0143386d2510ce0fdf461aeab67a2
lr_helper.F,response,41203,1293,cbabe7df57db7a5e21d7c65911f89a25a57f616a8099f271a8fd2e1a751df102
lt_mp2.F,many_body,72614,1799,eef499a8af2d348c91c825ba31a8aedf90c702acb39b5aedde6ca0dae7968373
m_unirnk.F,numerics,39048,1401,366e90d1dd66768de4ef902bea1d5af732584710f154a505b3c97c668bb423bd
main.F,execution,265517,6445,b764bee5a01c34e3b14933e7018033af9538cfe223e44adc3f798e7fecdb167f
main_mpi.F,execution,18524,486,085b57af05d2cd07f93b2c61473637a8f324eb8a5cf4d3f91af17c83f1618e10
makedeps.awk,execution,1152,36,656c5a90d323da4b34f572cc620214222eb15c6849f193db36e4b6b7c4873181
makefile,execution,7305,281,6345b9eae74b52c735a1686e0906ec441c035d62f4e605daf5af45d4a0f1ae2e
makeparam.F,execution,36,2,537a2a07894fb088de9688d12d9a0ab3a158d98e01a71470936007fe70f064ea
mathtools.F,numerics,25440,701,11be4446735b16896831a4c621f719d85e88b8bde9c1e23f98b97dde33c14203
mbj.F,xc,27520,752,f6c2435eefbe2f282eff429cf2a10800298c6ba4c0bf4b71035031ae709212a2
mggalib.F,xc,262741,7862,95c556bad4108bf28a731041240f457d19bb12327aa52bd9d61a46883558d873
mgrid.F,representation,67643,2341,e28f0fe5b979d5175d0c8473de9806262b29e30626b6f48922eeed842219bba6
mgrid_struct.F,representation,5763,124,afb50bac406269b44b1d6ede00d58102f1b66496d68ca207554c27a98999eb0e
minimax.F,many_body,225035,5678,f95f314e4b13e095c5b8612f55a7f6dfab46a4c8e107ab42e89123192bc98e94
minimax_dependence.F,many_body,1933573,35286,2b032c0c559fc92bf3447fa7e4a5044d8716340b76fd00bfbb70ad4959426b9e
minimax_functions1D.F,many_body,29733,894,6b01b6e86892703a62ad0b58b7cceb22aa0bb6f78f5cbb2beead24d5065f7bb2
minimax_functions2D.F,many_body,37970,1292,a19712fd54b6f6489cca4670e0ec5685d67a9baa6eb82da2bb69d5bb6d98000f
minimax_ini.F,many_body,785426,10974,40fc2dd35ba5f57c1077d966aca69ef63afb18df971e71112b9a340474515eb8
